FORMULA,Al,Co,Fe,Ni,Si,Cr,Mn,Ti,Cu,Mo,Nb,V,Zr,Sn,Ta,Hf,W,Zn,Re,Mg,Pd,YM
Co1 Cr1 Cu1 Fe1 Ni1,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,206
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,0.0,19.6078431372549,0.0,0.0,0.0,1.96078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,188
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,0.0,19.6078431372549,0.0,0.0,0.0,0.0,1.96078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,182
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,17.8571428571429,17.8571428571429,17.8571428571429,17.8571428571429,10.7142857142857,17.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,162
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,4.76190476190476,19.0476190476191,19.0476190476191,19.0476190476191,0.0,19.0476190476191,0.0,9.52380952380953,9.52380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,4.54545454545455,18.1818181818182,18.1818181818182,18.1818181818182,0.0,18.1818181818182,0.0,9.09090909090909,13.6363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,0.0,18.1818181818182,18.1818181818182,18.1818181818182,0.0,18.1818181818182,0.0,9.09090909090909,18.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,194
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,0.0,0.0,0.0,14.2857142857143,0.0,0.0,0.0,14.2857142857143,14.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,1.96078431372549,19.6078431372549,19.6078431372549,19.6078431372549,0.0,19.6078431372549,19.6078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,216
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,3.84615384615385,19.2307692307692,19.2307692307692,19.2307692307692,0.0,19.2307692307692,19.2307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,212
